"Argentina","2005","500500","Yarn spun from silk waste, not retail","Import","1423","169","Weight in kilograms","169"
"Argentina","2005","500720","Woven fabric >85% silk (except noil silk)","Export","3076","42","Weight in kilograms","42"
"Argentina","2004","500600","Silk yarn retail, silk worm gut","Import","1205","3","Weight in kilograms","3"
"Argentina","2003","500500","Yarn spun from silk waste, not retail","Import","1562","225","Weight in kilograms","225"
"Argentina","2002","500200","Raw silk (not thrown)","Import","1991","181","Weight in kilograms","181"
"Argentina","2001","500400","Silk yarn (except from waste) not retail","Import","3806","551","Weight in kilograms","551"
"Argentina","2000","500500","Yarn spun from silk waste, not retail","Import","1938","738","Weight in kilograms","738"
"Argentina","1999","500400","Silk yarn (except from waste) not retail","Import","4241","500","Weight in kilograms","500"
"Argentina","1999","500790","Woven fabric of silk, nes","Import","278674","7113","Weight in kilograms","7113"
"Argentina","1998","500710","Woven fabric of noil silk","Import","33663","1069","Weight in kilograms","1069"
"Argentina","1997","500310","Silk waste, not carded or combed","Export","45514","13250","Weight in kilograms","13250"
"Argentina","1997","500790","Woven fabric of silk, nes","Import","248193","6860","Weight in kilograms","6860"
"Argentina","1996","500710","Woven fabric of noil silk","Import","67546","1143","Weight in kilograms","1143"
"Argentina","1995","500400","Silk yarn (except from waste) not retail","Import","643","20","Weight in kilograms","20"
"Argentina","1995","500790","Woven fabric of silk, nes","Export","1481","11","Weight in kilograms","11"
"Argentina","1994","500710","Woven fabric of noil silk","Import","4603","25","Weight in kilograms","25"
"Argentina","1993","500390","Silk waste, carded or combed","Import","132","10","Weight in kilograms","10"
"Armenia","2014","500720","Woven fabric >85% silk (except noil silk)","Import","6566","28","Weight in kilograms","28"
"Armenia","2012","500710","Woven fabric of noil silk","Import","2788","18","Weight in kilograms","18"
"Armenia","2011","500790","Woven fabric of silk, nes","Import","24408","379","Weight in kilograms","379"
"Armenia","2009","500720","Woven fabric >85% silk (except noil silk)","Import","28730","417","Weight in kilograms","417"
"Armenia","2007","500200","Raw silk (not thrown)","Import","14340","1983","Weight in kilograms","1983"
"Armenia","2005","500720","Woven fabric >85% silk (except noil silk)","Import","2211","1380","Weight in kilograms","1380"
"Armenia","2004","500720","Woven fabric >85% silk (except noil silk)","Import","2526","1149","Weight in kilograms","1149"
"Armenia","2002","500720","Woven fabric >85% silk (except noil silk)","Import","8042","88","Weight in kilograms","88"
"Armenia","2001","500790","Woven fabric of silk, nes","Import","2003","4","Weight in kilograms","4"
"Armenia","1999","500720","Woven fabric >85% silk (except noil silk)","Import","8550","3385","Weight in kilograms","3385"
"Aruba","2012","500390","Silk waste, carded or combed","Import","2359","69","Weight in kilograms","69"
"Aruba","2011","500710","Woven fabric of noil silk","Import","170","9","Weight in kilograms","9"
"Aruba","2005","500200","Raw silk (not thrown)","Import","657","55","Weight in kilograms","55"
"Australia","2014","500600","Silk yarn retail, silk worm gut","Export","1486762","30567","Weight in kilograms","30567"
"Australia","2014","500790","Woven fabric of silk, nes","Export","683067","61806","Weight in kilograms","61806"
"Australia","2013","500500","Yarn spun from silk waste, not retail","Import","3469","102","Weight in kilograms","102"
"Australia","2013","500720","Woven fabric >85% silk (except noil silk)","Export","81580","1028","Weight in kilograms","1028"
"Australia","2012","500400","Silk yarn (except from waste) not retail","Import","10354","294","Weight in kilograms","294"
"Australia","2012","500710","Woven fabric of noil silk","Export","125958","1973","Weight in kilograms","1973"
"Australia","2011","500100","Silk-worm cocoons suitable for reeling","Export","4075","58","Weight in kilograms","58"
"Australia","2011","500500","Yarn spun from silk waste, not retail","Import","4971","110","Weight in kilograms","110"
"Australia","2011","500720","Woven fabric >85% silk (except noil silk)","Export","355979","16995","Weight in kilograms","16995"
"Australia","2010","500200","Raw silk (not thrown)","Export","14061","170","Weight in kilograms","170"
"Australia","2010","500600","Silk yarn retail, silk worm gut","Import","86608","618","Weight in kilograms","618"
"Australia","2010","500720","Woven fabric >85% silk (except noil silk)","Re-Import","3869","42","Weight in kilograms","42"
"Australia","2009","500500","Yarn spun from silk waste, not retail","Import","12363","397","Weight in kilograms","397"
"Australia","2009","500720","Woven fabric >85% silk (except noil silk)","Re-Import","7908","84","Weight in kilograms","84"
"Australia","2008","500400","Silk yarn (except from waste) not retail","Import","33775","766","Weight in kilograms","766"
"Australia","2008","500710","Woven fabric of noil silk","Export","122017","1312","Weight in kilograms","1312"
"Australia","2008","500790","Woven fabric of silk, nes","Export","577932","5040","Weight in kilograms","5040"
"Australia","2007","500500","Yarn spun from silk waste, not retail","Import","12555","177","Weight in kilograms","177"
"Australia","2007","500720","Woven fabric >85% silk (except noil silk)","Export","422607","3533","Weight in kilograms","3533"
"Australia","2006","500400","Silk yarn (except from waste) not retail","Import","119065","6027","Weight in kilograms","6027"
"Australia","2006","500710","Woven fabric of noil silk","Export","107139","2370","Weight in kilograms","2370"
"Australia","2006","500790","Woven fabric of silk, nes","Export","886495","14070","Weight in kilograms","14070"
"Australia","2005","500400","Silk yarn (except from waste) not retail","Import","63141","2761","Weight in kilograms","2761"
"Australia","2005","500710","Woven fabric of noil silk","Export","49315","8554","Weight in kilograms","8554"
"Australia","2005","500790","Woven fabric of silk, nes","Export","645920","28530","Weight in kilograms","28530"
"Australia","2004","500400","Silk yarn (except from waste) not retail","Export","41796","2438","Weight in kilograms","2438"
"Australia","2004","500710","Woven fabric of noil silk","Export","278953","6172","Weight in kilograms","6172"
"Australia","2004","500790","Woven fabric of silk, nes","Export","1076167","17081","Weight in kilograms","17081"
"Australia","2003","500400","Silk yarn (except from waste) not retail","Import","124909","2600","Weight in kilograms","2600"
"Australia","2003","500710","Woven fabric of noil silk","Import","665062","12857","Weight in kilograms","12857"
"Australia","2003","500790","Woven fabric of silk, nes","Re-Import","717","","No Quantity",""
"Australia","2002","500310","Silk waste, not carded or combed","Export","155","100","Weight in kilograms","100"
"Australia","2002","500600","Silk yarn retail, silk worm gut","Import","106157","1220","Weight in kilograms","1220"
"Australia","2002","500720","Woven fabric >85% silk (except noil silk)","Re-Import","24625","334","Weight in kilograms","334"
"Australia","2001","500200","Raw silk (not thrown)","Export","62046","10814","Weight in kilograms","10814"
"Australia","2001","500500","Yarn spun from silk waste, not retail","Import","25212","518","Weight in kilograms","518"
