일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
815128,28,홈플러스 방학점,25,무,1개(2.4kg),1200,15-Sep,제주도,2015-09-24,2,대형마트,320000,도봉구
815129,28,홈플러스 방학점,24,양파,1망(1.5kg),3760,15-Sep,무안,2015-09-24,2,대형마트,320000,도봉구
815145,26,신창시장,24,양파,1망(1.5kg),3300,15-Sep,무안,2015-09-24,1,전통시장,320000,도봉구
815162,140,하나로클럽 양재점,23,상추,100g,990,15-Sep,180g 1780원 뜨라네,2015-09-24,2,대형마트,650000,서초구
815163,140,하나로클럽 양재점,22,오이,1개,620,15-Sep,5입 3080원  백오이,2015-09-24,2,대형마트,650000,서초구
815178,200,뉴코아아울렛 강남점,23,상추,1 봉지( 100g),1490,15-Sep,친환경,2015-09-24,2,대형마트,650000,서초구
815194,14,장위골목시장,23,상추,100g,600,15-Sep,,2015-09-24,1,전통시장,290000,성북구
815211,13,돈암제일시장,22,오이,1개,500,15-Sep,,2015-09-24,1,전통시장,290000,성북구
815226,15,이마트 미아점,23,상추,100g,940,15-Sep,예냉적상추.봉지 200g  2580원              예냉적상추200g1봉지 1980원,2015-09-24,2,대형마트,290000,성북구
815227,15,이마트 미아점,22,오이,1개,760,15-Sep,강원도.,2015-09-24,2,대형마트,290000,성북구
815242,16,현대백화점 미아점,23,상추,100g,1300,15-Sep,국내 .찹찹이,2015-09-24,2,대형마트,290000,성북구
815248,16,현대백화점 미아점,17,달걀,10개,4500,15-Sep,"국내,풀무원,목초란",2015-09-24,2,대형마트,290000,성북구
815264,11,남대문시장,17,달걀,10개,2600,15-Sep,국내 ,2015-09-24,1,전통시장,140000,중구
815280,60,이마트 청계점,17,달걀,10개,2700,15-Sep,국내 ,2015-09-24,2,대형마트,140000,중구
815296,8,롯데마트 서울역점,17,달걀,10개,2700,15-Sep,국내 ,2015-09-24,2,대형마트,140000,중구
815322,2,신세계백화점,23,상추,1봉지(100g),1320,15-Sep,국내산프레쉬스타 (적상추150g1980원,2015-09-24,2,대형마트,140000,중구
815338,56,롯데백화점,23,상추,1봉지(100g),1800,15-Sep,친환경푸룸적상추,2015-09-24,2,대형마트,140000,중구
815376,199,서울중앙시장,17,달걀,10개,2600,15-Sep,국내,2015-09-24,1,전통시장,140000,중구
815380,199,서울중앙시장,13,고등어,1마리,2200,15-Sep,노르웨이,2015-09-24,1,전통시장,140000,중구
815386,6,이마트 용산점,23,상추,1봉지180g,1780,15-Sep,예냉적상추,2015-09-24,2,대형마트,170000,용산구
815418,63,농협 하나로마트 용산점,23,상추,100g),880,15-Sep,뜨라네 프레미엄,2015-09-24,2,대형마트,170000,용산구
815434,10,용문시장,23,상추,100g),1000,15-Sep,,2015-09-24,1,전통시장,170000,용산구
815464,40,홈플러스 등촌점,24,양파,1망(1.8kg),3760,15-Sep,무안,2015-09-24,2,대형마트,500000,강서구
815465,40,홈플러스 등촌점,23,상추,1봉지(100g),900,15-Sep,남양주,2015-09-24,2,대형마트,500000,강서구
815480,218,신세계백화점 강남점,24,양파,"1망 1,2kg",3500,15-Sep,1망( 5입),2015-09-24,2,대형마트,650000,서초구
815481,218,신세계백화점 강남점,23,상추,100g,1800,15-Sep,"적상추(친환경), 전북 완주",2015-09-24,2,대형마트,650000,서초구
815482,218,신세계백화점 강남점,22,오이,1개 ,1800,15-Sep,"1봉 2입 3600원,백오이",2015-09-24,2,대형마트,650000,서초구
815562,102,목3동시장,22,오이,1개,400,15-Sep,5개2000원),2015-09-23,1,전통시장,470000,양천구
815567,102,목3동시장,17,달걀,10개,2500,15-Sep,"신선란,특란",2015-09-23,1,전통시장,470000,양천구
815594,105,행복한세상 목동점(하나로마트),22,오이,1개,870,15-Sep,"안성(3개2600원)백오이,(취청오이2개980)",2015-09-23,2,대형마트,470000,양천구
815598,105,행복한세상 목동점(하나로마트),18,닭고기,1마리,4090,15-Sep,목우촌9호),2015-09-23,2,대형마트,470000,양천구
815599,105,행복한세상 목동점(하나로마트),17,달걀,10개,3140,15-Sep,농협안심1듬급륵란,2015-09-23,2,대형마트,470000,양천구
815615,103,신영시장,17,달걀,10개,2700,15-Sep,참생생란,2015-09-23,1,전통시장,470000,양천구
815623,73,뚝도시장,25,무,2kg,1500,15-Sep,,2015-09-24,1,전통시장,200000,성동구
815626,73,뚝도시장,22,오이,1개,600,15-Sep,5개3000원,2015-09-24,1,전통시장,200000,성동구
815630,73,뚝도시장,18,닭고기,1마리,4500,15-Sep,1kg,2015-09-24,1,전통시장,200000,성동구
815655,74,이마트 왕십리점,25,무,1개,1280,15-Sep,1.5국내산 제주,2015-09-24,2,대형마트,200000,성동구
815657,74,이마트 왕십리점,23,상추,100g,1980,15-Sep,1봉 예냉적상추 이천,2015-09-24,2,대형마트,200000,성동구
815662,74,이마트 왕십리점,18,닭고기,1마리(1.3.kg이상),6980,15-Sep,국내산 백숙용하림,2015-09-24,2,대형마트,200000,성동구
815671,72,금남시장,25,무,1개(2kg),1300,15-Sep,1.5kg 국내산,2015-09-24,1,전통시장,200000,성동구
815678,72,금남시장,18,닭고기,1마리,5500,15-Sep,1kg국내산,2015-09-24,1,전통시장,200000,성동구
815679,72,금남시장,17,달걀,10개,1833,15-Sep,30개 5500원,2015-09-24,1,전통시장,200000,성동구
815687,147,롯데백화점 잠실점,25,무,1개(1kg),1750,15-Sep, 2kg 3500원,2015-09-24,2,대형마트,710000,송파구
815716,148,홈플러스 잠실점,25,무,1개(1kg),1400,15-Sep, 1600g,2015-09-24,2,대형마트,710000,송파구
815750,129,태평백화점,23,상추,100g(적상추),1700,15-Sep,친환경상추100g2500원,2015-09-24,2,대형마트,590000,동작구
815772,122,그랜드마트 신촌점,17,달걀,10개,2480,15-Sep,"국내, (신선 특란)",2015-09-24,2,대형마트,440000,마포구
815788,130,롯데백화점 영등포점,17,달걀,10개,4200,15-Sep,프레시안순맑은계란10구,2015-09-24,2,대형마트,560000,영등포구
815830,127,남성시장,23,상추,100g(적상추),800,15-Sep,청상추,2015-09-24,1,전통시장,590000,동작구
815846,120,망원시장,23,상추,1봉(200g),2000,15-Sep,이천(적상추)1봉지,2015-09-24,1,전통시장,440000,마포구
815860,51,2001아울렛 불광점,25,무,1개,1990,15-Sep,햇무,2015-09-24,2,대형마트,380000,은평구
815862,51,2001아울렛 불광점,23,상추,100g,1690,15-Sep,홍천,2015-09-24,2,대형마트,380000,은평구
815867,51,2001아울렛 불광점,18,닭고기,1마리(1150g),7990,15-Sep,올품,2015-09-24,2,대형마트,380000,은평구
815876,219,대조시장,25,무,1개,1500,15-Sep,햇무,2015-09-24,1,전통시장,380000,은평구
815877,219,대조시장,24,양파,1망(1.5kg),3000,15-Sep,햇양파,2015-09-24,1,전통시장,380000,은평구
815892,49,대림시장,25,무,1개,2000,15-Sep,햇무,2015-09-24,1,전통시장,380000,은평구
815893,49,대림시장,24,양파,1망(1.5kg),3000,15-Sep,"무안,햇",2015-09-24,1,전통시장,380000,은평구
815910,53,이마트 은평점,23,상추,(100g),940,15-Sep,논산양촌,2015-09-24,2,대형마트,380000,은평구
815915,53,이마트 은평점,18,닭고기,1마리(1050g),6980,15-Sep,올품토종,2015-09-24,2,대형마트,380000,은평구
815925,154,홈플러스 강동점,24,양파,1망(1.5kg),3760,15-Sep,무안,2015-09-24,2,대형마트,740000,강동구
815942,151,암사종합시장,23,상추,100g,750,15-Sep,양주,2015-09-24,1,전통시장,740000,강동구
815956,153,이마트 명일점,25,무,1개(1.0kg),1980,15-Sep,고냉지,2015-09-24,2,대형마트,740000,강동구
815958,153,이마트 명일점,23,상추,1봉지(200g),1780,15-Sep,에냉,2015-09-24,2,대형마트,740000,강동구
815959,153,이마트 명일점,22,오이,1개,700,15-Sep,5개3500원강원도,2015-09-24,2,대형마트,740000,강동구
815974,205,둔촌역전통시장,23,상추,200g,1500,15-Sep,양주(200g),2015-09-24,1,전통시장,740000,강동구
815988,66,수유재래시장,25,무,1개(1.4kg),1000,15-Sep,제주,2015-09-24,1,전통시장,305000,강북구
815989,66,수유재래시장,24,양파,1망,2000,15-Sep,무안,2015-09-24,1,전통시장,305000,강북구
816000,66,수유재래시장,18,닭고기,1kg,6000,15-Sep,,2015-09-24,1,전통시장,305000,강북구
816004,221,숭인시장,25,무,1개(1.4kg),1000,15-Sep,제주,2015-09-24,1,전통시장,305000,강북구
816005,221,숭인시장,24,양파,1망(1.5kg),2000,15-Sep,무안,2015-09-24,1,전통시장,305000,강북구
816006,221,숭인시장,23,상추,100g,500,15-Sep,1근 2000원,2015-09-24,1,전통시장,305000,강북구
816007,221,숭인시장,22,오이,1개,400,15-Sep,5개 2000원,2015-09-24,1,전통시장,305000,강북구
816015,221,숭인시장,18,닭고기,1마리 ,6000,15-Sep,마니커,2015-09-24,1,전통시장,305000,강북구
816043,68,롯데백화점 미아점,18,닭고기,1마리,9500,15-Sep,하림,2015-09-24,2,대형마트,305000,강북구
816060,135,롯데백화점 관악점,17,달걀,10개,3280,15-Sep,오성신선란10구,2015-09-24,2,대형마트,620000,관악구
816075,134,신원시장(신림1동),18,닭고기,1마리(1kg),7000,15-Sep,하림,2015-09-24,1,전통시장,620000,관악구
816091,133,원당종합시장,17,달걀,10개,2500,15-Sep,영양란10구,2015-09-24,1,전통시장,620000,관악구
816117,98,롯데백화점 노원점,23,상추,(100g),1980,15-Sep,,2015-09-24,2,대형마트,350000,노원구
816132,96,공릉동 도깨비시장,23,상추, (100g),800,15-Sep,,2015-09-24,1,전통시장,350000,노원구
816148,210,상계중앙시장,23,상추, (100g),700,15-Sep,,2015-09-24,1,전통시장,350000,노원구
816150,210,상계중앙시장,17,달걀,10개,2000,15-Sep,일반,2015-09-24,1,전통시장,350000,노원구
816164,100,홈플러스 중계점,23,상추, (138g),1800,15-Sep,,2015-09-24,2,대형마트,350000,노원구
816180,45,롯데백화점 강남점,23,상추,180g,3580,15-Sep,뜨라네,2015-09-24,2,대형마트,680000,강남구
816185,45,롯데백화점 강남점,18,닭고기,"1마리(1,050g)",13800,15-Sep,하림자연실록,2015-09-24,2,대형마트,680000,강남구
816186,45,롯데백화점 강남점,17,달걀,1마리20cm,3700,15-Sep,1등급란,2015-09-24,2,대형마트,680000,강남구
816194,216,도곡시장,25,무,1개,1180,15-Sep,국내산,2015-09-24,1,전통시장,680000,강남구
816195,216,도곡시장,24,양파,1망,3980,15-Sep,신토불이,2015-09-24,1,전통시장,680000,강남구
816212,215,청담삼익시장,23,상추,100g,1580,15-Sep,신선쌈,2015-09-24,1,전통시장,680000,강남구
816217,215,청담삼익시장,18,닭고기,"1마리(1,050g)",6580,15-Sep,하림자연실록,2015-09-24,1,전통시장,680000,강남구
816227,44,이마트 역삼점,24,양파,1망(1.8kg),4250,15-Sep,국내산,2015-09-24,2,대형마트,680000,강남구
816233,44,이마트 역삼점,18,닭고기,1050g,4886,15-Sep,하림토종닭황기백숙,2015-09-24,2,대형마트,680000,강남구
817057,88,롯데백화점 청량리점,24,양파,한망(5개입),4200,15-Sep,국내산 ,2015-09-28,2,대형마트,230000,동대문구
817058,88,롯데백화점 청량리점,23,상추,1봉지,3280,15-Sep,국산 적상추,2015-09-28,2,대형마트,230000,동대문구
817064,88,롯데백화점 청량리점,17,달걀,10개,4500,15-Sep,목초란 대 ,2015-09-28,2,대형마트,230000,동대문구
817072,84,청량리종합시장,25,무,1개,1500,15-Sep,국내산,2015-09-28,1,전통시장,230000,동대문구
817073,84,청량리종합시장,24,양파,1kg,3000,15-Sep,국내산,2015-09-28,1,전통시장,230000,동대문구
817074,84,청량리종합시장,23,상추,100g,625,15-Sep,1근2500원,2015-09-28,1,전통시장,230000,동대문구
817080,84,청량리종합시장,17,달걀,10개,1800,15-Sep,국내산,2015-09-28,1,전통시장,230000,동대문구
817120,85,경동시장,24,양파,1망(1.7kg),3200,15-Sep,무안,2015-09-28,1,전통시장,230000,동대문구
817127,85,경동시장,17,달걀,10개,1800,15-Sep,국내산 ,2015-09-28,1,전통시장,230000,동대문구
817134,75,이마트 성수점,25,무,2kg,1280,15-Sep,,2015-09-30,2,대형마트,200000,성동구
817135,75,이마트 성수점,24,양파,1.8kg,4480,15-Sep,,2015-09-30,2,대형마트,200000,성동구
817137,75,이마트 성수점,22,오이,1개,600,15-Sep,백오이5개3000원,2015-09-30,2,대형마트,200000,성동구
817141,75,이마트 성수점,18,닭고기,1마리,5800,15-Sep,하림1000g,2015-09-30,2,대형마트,200000,성동구
817146,75,이마트 성수점,13,고등어,1마리,1440,15-Sep,자반고등어.20cm이상2마리2880원,2015-09-30,2,대형마트,200000,성동구
819369,86,홈플러스 동대문점,23,상추,1봉지,2400,15-Sep,국내산 청상추,2015-09-28,2,대형마트,230000,동대문구
819375,86,홈플러스 동대문점,17,달걀,10개,4130,15-Sep,풀무원  대 ,2015-09-28,2,대형마트,230000,동대문구
