일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
828093,153,이마트 명일점,22,오이,1개,390,15-Oct,10개3900원,2015-10-29,2,대형마트,740000,강동구
828108,205,둔촌역전통시장,23,상추,200g,1500,15-Oct,양주(200g),2015-10-29,1,전통시장,740000,강동구
828123,154,홈플러스 강동점,24,양파,1망(1.5kg),3460,15-Oct,무안,2015-10-29,2,대형마트,740000,강동구
828139,20,영등포전통시장,24,양파,1망,3500,15-Oct,,2015-10-29,1,전통시장,560000,영등포구
828140,20,영등포전통시장,23,상추,1무더기,600,15-Oct,,2015-10-29,1,전통시장,560000,영등포구
828155,22,이마트 여의도점,23,상추,1봉,1480,15-Oct,예냉적상추,2015-10-29,2,대형마트,560000,영등포구
828156,22,이마트 여의도점,25,무,1개 ,1180,15-Oct,햇무 ,2015-10-29,2,대형마트,560000,영등포구
828161,22,이마트 여의도점,18,닭고기,1마리,5800,15-Oct,하림 1kg,2015-10-29,2,대형마트,560000,영등포구
828171,21,홈플러스 영등포점,24,양파,1000g,3460,15-Oct, 좋은상품,2015-10-29,2,대형마트,560000,영등포구
828172,21,홈플러스 영등포점,23,상추,1봉,1500,15-Oct,,2015-10-29,2,대형마트,560000,영등포구
828178,21,홈플러스 영등포점,17,달걀,10개,3000,15-Oct,,2015-10-29,2,대형마트,560000,영등포구
828188,19,대림중앙시장,23,상추,1봉,500,15-Oct, ,2015-10-29,1,전통시장,560000,영등포구
828193,19,대림중앙시장,18,닭고기,1마리,6000,15-Oct,,2015-10-29,1,전통시장,560000,영등포구
828194,19,대림중앙시장,17,달걀,10개,2100,15-Oct,,2015-10-29,1,전통시장,560000,영등포구
828202,72,금남시장,25,무,1개(2kg),1100,15-Oct,1.5kg 국내산,2015-10-29,1,전통시장,200000,성동구
828209,72,금남시장,18,닭고기,1마리,5500,15-Oct,1kg국내산,2015-10-29,1,전통시장,200000,성동구
828210,72,금남시장,17,달걀,10개,1833,15-Oct,30개 5500원,2015-10-29,1,전통시장,200000,성동구
828218,74,이마트 왕십리점,25,무,1개,1180,15-Oct,1.5국내산 제주,2015-10-29,2,대형마트,200000,성동구
828220,74,이마트 왕십리점,23,상추,100g,1480,15-Oct,1봉 예냉적상추 이천,2015-10-29,2,대형마트,200000,성동구
828225,74,이마트 왕십리점,18,닭고기,1마리(1.3.kg이상),6650,15-Oct,국내산 백숙용하림,2015-10-29,2,대형마트,200000,성동구
828268,16,현대백화점 미아점,23,상추,100g,1200,15-Oct,국내 .찹찹이,2015-10-29,2,대형마트,290000,성북구
828274,16,현대백화점 미아점,17,달걀,10개,4500,15-Oct,"국내,풀무원,목초란",2015-10-29,2,대형마트,290000,성북구
828284,14,장위골목시장,23,상추,100g,450,15-Oct,,2015-10-29,1,전통시장,290000,성북구
