"Australia","1988","500720","Woven fabric >85% silk (except noil silk)","Import","14009471","0","Area in square metres","2458771"
"Austria","2013","500710","Woven fabric of noil silk","Import","377148","1441","Weight in kilograms","1441"
"Austria","2012","500710","Woven fabric of noil silk","Export","607994","3653","Weight in kilograms","3653"
"Austria","2011","500720","Woven fabric >85% silk (except noil silk)","Import","12894537","77953","Weight in kilograms","77953"
"Austria","2010","500720","Woven fabric >85% silk (except noil silk)","Export","5363670","24083","Weight in kilograms","24083"
"Austria","2009","500720","Woven fabric >85% silk (except noil silk)","Import","10958222","64130","Weight in kilograms","64130"
"Austria","2008","500720","Woven fabric >85% silk (except noil silk)","Export","14220248","63408","Weight in kilograms","63408"
"Austria","2007","500720","Woven fabric >85% silk (except noil silk)","Import","4785957","37477","Weight in kilograms","37477"
"Austria","2006","500710","Woven fabric of noil silk","Import","160703","1461","Weight in kilograms","1461"
"Austria","2005","500600","Silk yarn retail, silk worm gut","Export","27763","427","Weight in kilograms","427"
"Austria","2004","500500","Yarn spun from silk waste, not retail","Export","30941","711","Weight in kilograms","711"
"Austria","2003","500400","Silk yarn (except from waste) not retail","Export","4003875","87578","Weight in kilograms","87578"
"Austria","2002","500390","Silk waste, carded or combed","Export","28","2","Weight in kilograms","2"
"Austria","2001","500310","Silk waste, not carded or combed","Export","11770","1925","Weight in kilograms","1925"
"Austria","2000","500310","Silk waste, not carded or combed","Export","8699","1100","Weight in kilograms","1100"
"Austria","1999","500310","Silk waste, not carded or combed","Import","39251","12847","Weight in kilograms","12847"
"Austria","1998","500100","Silk-worm cocoons suitable for reeling","Export","1700","97","Weight in kilograms","97"
"Austria","1997","500100","Silk-worm cocoons suitable for reeling","Import","7053","0","No Quantity","0"
"Austria","1997","500790","Woven fabric of silk, nes","Import","1129559","15338","Weight in kilograms","15338"
"Austria","1996","500720","Woven fabric >85% silk (except noil silk)","Import","6166415","94407","Weight in kilograms","94407"
"Austria","1995","500710","Woven fabric of noil silk","Export","57635","0","No Quantity","0"
"Austria","1994","500600","Silk yarn retail, silk worm gut","Export","17636","1921","Weight in kilograms","1921"
"Azerbaijan","2013","500720","Woven fabric >85% silk (except noil silk)","Import","4008","205","Weight in kilograms","205"
"Azerbaijan","2010","500390","Silk waste, carded or combed","Export","197207","100144","Weight in kilograms","100144"
"Azerbaijan","2007","500400","Silk yarn (except from waste) not retail","Export","205000","10000","Weight in kilograms","10000"
"Azerbaijan","2004","500390","Silk waste, carded or combed","Export","307816","110575","Weight in kilograms","110575"
"Azerbaijan","1999","500600","Silk yarn retail, silk worm gut","Import","20","3","Weight in kilograms","3"
"Bahamas","2013","500400","Silk yarn (except from waste) not retail","Import","378","51","Weight in kilograms","51"
"Bahamas","2011","500600","Silk yarn retail, silk worm gut","Import","2290","362","Weight in kilograms","362"
"Bahamas","2009","500600","Silk yarn retail, silk worm gut","Import","340","52","Weight in kilograms","52"
