,행정구역별(시군구),1975 ,1980 ,1985 ,1990 ,1995 ,2000 ,2005 ,2010 
대전광역시,동구,225646 ,260425 ,291402 ,299432 ,271494 ,247381 ,232673 ,246915 
대전광역시,중구,236525 ,288808 ,310344 ,296942 ,267282 ,253990 ,255962 ,255486 
대전광역시,서구,70782 ,116523 ,178550 ,211698 ,406210 ,470797 ,509420 ,500984 
대전광역시,유성구,55523 ,62567 ,65542 ,79305 ,124684 ,162261 ,222649 ,293505 
대전광역시,대덕구,51109 ,75631 ,97174 ,162201 ,202451 ,233778 ,222152 ,204969 
울산광역시,중구,85134 ,121243 ,158712 ,206287 ,236078 ,227455 ,226115 ,222493 
울산광역시,남구,95804 ,159063 ,196019 ,256180 ,304755 ,324267 ,338040 ,335340 
울산광역시,동구,51443 ,97117 ,148416 ,168705 ,191969 ,183468 ,178353 ,166297 
울산광역시,북구,37994 ,60007 ,67029 ,71697 ,93712 ,118254 ,141304 ,169399 
울산광역시,울주군,107244 ,106860 ,99537 ,102486 ,140915 ,160984 ,165365 ,189038 
경기도,수원시,224144 ,322659 ,443784 ,661396 ,755550 ,946704 ,1044113 ,1071913 
경기도,성남시,272506 ,376840 ,447692 ,540754 ,869094 ,914590 ,934984 ,949964 
경기도,의정부시,108350 ,133177 ,162700 ,212352 ,276111 ,355380 ,398870 ,417412 
경기도,안양시,134848 ,253560 ,361577 ,481291 ,591106 ,580544 ,612423 ,602122 
경기도,부천시,109161 ,221463 ,456292 ,667993 ,779412 ,761389 ,838801 ,853039 
경기도,광명시,93341 ,145870 ,219611 ,328593 ,350914 ,334089 ,320268 ,329010 
경기도,평택시,225077 ,234356 ,246870 ,271826 ,312927 ,345306 ,378438 ,388508 
경기도,동두천시,59992 ,60144 ,68633 ,71449 ,71579 ,73502 ,80277 ,91828 
경기도,안산시,39238 ,37517 ,102141 ,240972 ,510314 ,562920 ,681590 ,728775 
경기도,고양시,143028 ,155601 ,183125 ,244975 ,518282 ,763971 ,866846 ,905076 
경기도,과천시,13472 ,16074 ,65128 ,72353 ,68077 ,66706 ,56711 ,66704 
경기도,구리시,45368 ,66490 ,83988 ,109374 ,142173 ,160839 ,187414 ,185550 
경기도,남양주시,107447 ,124989 ,150817 ,200312 ,229060 ,340932 ,426087 ,529898 
경기도,오산시,31139 ,44840 ,47858 ,59482 ,70488 ,102697 ,132532 ,183890 
경기도,시흥시,42013 ,53874 ,56014 ,99209 ,133443 ,305268 ,389638 ,407090 
경기도,군포시,23425 ,40253 ,52664 ,124313 ,235233 ,263760 ,270042 ,278083 
경기도,의왕시,19334 ,32842 ,54993 ,96892 ,108788 ,117821 ,143987 ,144501 
