시도명,구시군명,읍면동명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,계
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",,,
서울특별시,구로구,구로제5동,"25,713","19,832","8,480","11,162",8,11,46,19,106,"5,881","25,713"
서울특별시,구로구,가리봉동,"11,906","7,526","3,600","3,853",6,4,7,9,47,"4,380","11,906"
서울특별시,구로구,고척제1동,"20,105","15,506","7,771","7,636",7,4,19,15,54,"4,599","20,105"
서울특별시,구로구,고척제2동,"24,188","18,470","8,741","9,574",10,11,33,16,85,"5,718","24,188"
서울특별시,구로구,개봉제1동,"27,260","20,611","9,949","10,508",9,9,29,15,92,"6,649","27,260"
서울특별시,구로구,개봉제2동,"27,979","22,461","10,475","11,821",5,13,39,23,85,"5,518","27,979"
서울특별시,구로구,개봉제3동,"17,653","13,469","6,287","7,092",11,5,20,11,43,"4,184","17,653"
서울특별시,구로구,오류제1동,"17,194","13,016","6,517","6,402",5,4,18,10,60,"4,178","17,194"
서울특별시,구로구,오류제2동,"30,774","24,074","11,282","12,601",18,18,37,19,99,"6,700","30,774"
서울특별시,구로구,수궁동,"20,229","15,682","8,059","7,484",6,15,30,16,72,"4,547","20,229"
서울특별시,금천구,가산동,"17,074","12,000","4,787","7,105",8,10,19,11,60,"5,074","17,074"
서울특별시,금천구,독산제1동,"26,225","19,198","8,195","10,839",16,8,24,14,102,"7,027","26,225"
서울특별시,금천구,독산제2동,"18,555","12,964","5,758","7,083",7,12,19,10,75,"5,591","18,555"
서울특별시,금천구,독산제3동,"23,409","16,313","7,231","8,935",13,11,23,17,83,"7,096","23,409"
서울특별시,금천구,독산제4동,"15,525","10,806","4,749","5,978",4,6,11,3,55,"4,719","15,525"
서울특별시,금천구,시흥제1동,"29,116","20,976","9,823","10,977",13,13,29,11,110,"8,140","29,116"
서울특별시,금천구,시흥제2동,"19,248","15,169","6,955","8,087",11,8,27,11,70,"4,079","19,248"
서울특별시,금천구,시흥제3동,"10,386","7,956","3,757","4,118",5,10,17,5,44,"2,430","10,386"
서울특별시,금천구,시흥제4동,"19,189","13,981","6,501","7,354",7,13,16,22,68,"5,208","19,189"
